team,espn_raw_prob,espn_prob,poly_prob,market_prob,model_prob,edge,edge_ratio,overround_espn
Croatia,0.012345679012345678,0.010485458088574717,0.008490566037735847,0.009488012063155282,0.0131,0.0036119879368447187,1.3806896442376082,0.17740959985314508
Belgium,0.027777777777777776,0.023592280699293113,0.017924528301886792,0.020758404500589953,0.0099,-0.010858404500589952,0.4769152658008299,0.17740959985314508
Canada,0.004975124378109453,0.0042254831103211545,0.0047169811320754715,0.004471232121198313,0.007,0.002528767878801687,1.5655639900269738,0.17740959985314508
Australia,0.001996007984031936,0.0016952537029432176,0.0018867924528301887,0.0017910230778867033,0.0063,0.004508976922113297,3.517542614489151,0.17740959985314508
Algeria,0.002849002849002849,0.0024197210973633965,0.002830188679245283,0.0026249548883043395,0.0062,0.0035750451116956603,2.3619453528990197,0.17740959985314508
Turkey,0.009900990099009901,0.008409129754203486,0.00660377358490566,0.007506451669554572,0.0057,-0.001806451669554572,0.7593467927221377,0.17740959985314508
Paraguay,0.006622516556291391,0.005624649703142729,0.0037735849056603774,0.0046991173044015535,0.0055,0.0008008826955984462,1.1704325820613752,0.17740959985314508
Mexico,0.013157894736842105,0.011175290857559896,0.010377358490566037,0.010776324674062965,0.005,-0.005776324674062965,0.4639800814496864,0.17740959985314508
Ivory Coast,0.00398406374501992,0.0033837534070699287,0.0037735849056603774,0.003578669156365153,0.004,0.000421330843634847,1.117733946678321,0.17740959985314508
DR Congo,0.0014265335235378032,0.0012115864553131986,0.0018867924528301887,0.0015491894540716937,0.0027,0.0011508105459283064,1.742846875766977,0.17740959985314508
Egypt,0.0033222591362126247,0.0028216681235034955,0.0037735849056603774,0.0032976265145819366,0.0022,-0.0010976265145819365,0.6671465037874096,0.17740959985314508
Iran,0.001996007984031936,0.0016952537029432176,0.0018867924528301887,0.0017910230778867033,0.002,0.00020897692211329678,1.1166801950759209,0.17740959985314508
Scotland,0.004975124378109453,0.0042254831103211545,0.0037735849056603774,0.003999534007990766,0.0016,-0.002399534007990766,0.40004660463026975,0.17740959985314508
Uzbekistan,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0011,-0.0002676330421865988,0.804309318412853,0.17740959985314508
Tunisia,0.001996007984031936,0.0016952537029432176,0.0018867924528301887,0.0017910230778867033,0.0009,-0.0008910230778867033,0.5025060877841644,0.17740959985314508
South Korea,0.0022172949002217295,0.0018831975724491177,0.0037735849056603774,0.0028283912390547478,0.0008,-0.002028391239054748,0.2828463010892938,0.17740959985314508
United States,0.01639344262295082,0.013923313199582822,0.012264150943396225,0.013093732071489523,0.0006,-0.012493732071489523,0.04582345176486759,0.17740959985314508
Bosnia and Herzegovina,0.00398406374501992,0.0033837534070699287,0.002830188679245283,0.003106971043157606,0.0005,-0.002606971043157606,0.16092843900207432,0.17740959985314508
Sweden,0.009900990099009901,0.008409129754203486,0.005660377358490566,0.007034753556347025,0.0004,-0.006634753556347025,0.05686055620798608,0.17740959985314508
Czech Republic,0.00398406374501992,0.0033837534070699287,0.002830188679245283,0.003106971043157606,0.0003,-0.002806971043157606,0.09655706340124458,0.17740959985314508
South Africa,0.0012484394506866417,0.0010603272224401399,0.0018867924528301887,0.0014735598376351643,0.0002,-0.0012735598376351642,0.13572574040900104,0.17740959985314508
New Zealand,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0001,-0.0012676330421865988,0.073119028946623,0.17740959985314508
Cape Verde,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0001,-0.0012676330421865988,0.073119028946623,0.17740959985314508
Panama,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0001,-0.0012676330421865988,0.073119028946623,0.17740959985314508
Ghana,0.0033222591362126247,0.0028216681235034955,0.002830188679245283,0.002825928401374389,0.0001,-0.0027259284013743893,0.0353866007190292,0.17740959985314508
Curacao,0.0004997501249375312,0.00042444882817318944,0.0018867924528301887,0.001155620640501689,0.0,-0.001155620640501689,0.0,0.17740959985314508
Haiti,0.00039984006397441024,0.0003395930048678737,0.0009433962264150943,0.000641494615641484,0.0,-0.000641494615641484,0.0,0.17740959985314508
Jordan,0.0004997501249375312,0.00042444882817318944,0.0018867924528301887,0.001155620640501689,0.0,-0.001155620640501689,0.0,0.17740959985314508
Iraq,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0,-0.0013676330421865989,0.0,0.17740959985314508
Qatar,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0,-0.0013676330421865989,0.0,0.17740959985314508
Saudi Arabia,0.000999000999000999,0.0008484736315430091,0.0018867924528301887,0.0013676330421865989,0.0,-0.0013676330421865989,0.0,0.17740959985314508
